Udise_Code,ClassCode,Total_Seats,RTE_Seats,admitted,Dropout,Retaining
22041400212,C009,0,0,0,0,0
22191604958,C001,48,12,11,0,11
22081327503,C009,40,8,7,0,7
22070309809,C002,0,0,0,0,0
22070309005,C002,0,0,0,0,0
22070322325,C003,30,8,8,0,8
22110415613,C004,20,5,0,0,0
22031306013,C009,0,0,0,0,0
22252305631,C009,0,0,0,0,0
22142112110,C008,0,0,0,0,0
22041410002,C007,16,4,4,3,1
22100716017,C010,26,6,6,0,6
22172613618,C009,0,0,0,0,0
22071511905,C007,30,7,7,3,4
22070322710,C006,0,0,0,0,0
22110429212,C001,0,0,0,0,0
22060511209,C009,20,5,4,1,3
22100722228,C001,0,0,0,0,0
22110429116,C009,28,7,7,0,7
22100701110,C003,0,0,0,0,0
22071511002,C012,0,0,0,0,0
22122100208,C003,0,0,0,0,0
22240207806,C009,NULL,NULL,NULL,NULL,NULL
22100700818,C007,19,4,3,1,2
22020110302,C005,24,6,6,0,6
22061300308,C007,40,9,9,0,9
22061907301,C007,0,0,0,0,0
22090815502,C010,40,10,10,0,10
22110418706,C009,40,10,0,0,0
22261205306,C012,0,0,0,0,0
22251904206,C005,20,5,3,0,3
22012300306,C004,120,30,23,0,23
22020303713,C012,0,0,0,0,0
22060400502,C009,0,0,0,0,0
22122100103,C002,40,10,5,0,5
22110429111,C001,40,10,7,0,7
22271405906,C004,40,10,3,0,3
22220912003,C006,6,1,1,0,1
22250506507,C011,0,0,0,0,0
22143206806,C006,40,10,2,1,1
22191212605,C007,90,23,19,0,19
22061902706,C011,28,7,1,0,1
22100718006,C011,28,1,1,0,1
22071511201,C005,50,13,9,0,9
22141800411,C010,35,9,1,0,1
22241208903,C002,20,5,5,0,5
22020110894,C001,7,6,1,0,1
22061902104,C012,0,0,0,0,0
22231008629,C004,41,11,9,0,9
22133015403,C010,0,0,0,0,0
22080707008,C008,0,0,0,0,0
22060507914,C009,0,0,0,0,0
22091100135,C012,0,0,0,0,0
22061905402,C007,0,0,0,0,0
22030800217,C009,40,7,0,0,0
22110420509,C001,30,7,0,0,0
22261001304,C008,40,10,6,0,6
22070326703,C009,0,0,0,0,0
22220813421,C008,0,0,0,0,0
22040205604,C001,0,0,0,0,0
22122503509,C003,0,0,0,0,0
22271703613,C004,0,0,0,0,0
22252304403,C004,24,6,6,0,6
22133009704,C012,0,0,0,0,0
22271502607,C005,4,1,1,0,1
22100702908,C010,0,0,0,0,0
22100709011,C010,0,0,0,0,0
22100717202,C006,32,4,4,0,4
22122516104,C011,0,0,0,0,0
22132703002,C002,30,8,8,0,8
22110402131,C005,50,12,10,0,10
22100700713,C004,233,35,35,0,35
22171005107,C012,0,0,0,0,0
22080109615,C009,0,0,0,0,0
22090201722,C005,0,0,0,0,0
22090606609,C009,0,0,0,0,0
22100726206,C007,0,0,0,0,0
22071116106,C007,50,12,7,0,7
22071100109,C006,60,15,14,0,14
22090313204,C002,0,0,0,0,0
22122114306,C011,0,0,0,0,0
22070323708,C006,0,0,0,0,0
22110416608,C001,30,7,0,0,0
22061707004,C005,0,0,0,0,0
22140156903,C007,0,0,0,0,0
22072503207,C001,40,10,0,0,0
22110428607,C012,0,0,0,0,0
22110415302,C011,0,0,0,0,0
22110422806,C008,0,0,0,0,0
22041407005,C009,10,2,2,0,2
22271411513,C009,0,0,0,0,0
22271500903,C003,0,0,0,0,0
22110415616,C008,0,0,0,0,0
22070307931,C006,0,0,0,0,0
22090608404,C003,40,10,4,0,4
22090500203,C006,20,5,5,0,5
22090610204,C003,36,9,6,0,6
22100716102,C009,24,3,3,1,2
22070324605,C009,0,0,0,0,0
22242002915,C007,0,0,0,0,0
22100710527,C006,0,0,0,0,0
22122100109,C004,30,8,8,1,7
22120906703,C012,0,0,0,0,0
22020106110,C005,60,20,14,0,14
22041508803,C008,0,0,0,0,0
22101100805,C001,0,0,0,0,0
22091115403,C009,0,0,0,0,0
22090000102,C010,0,0,0,0,0
22110613404,C005,32,8,3,0,3
22122102429,C009,24,6,6,0,6
22040607005,C006,0,0,0,0,0
22121123004,C006,40,10,1,0,1
22041404507,C006,0,0,0,0,0
22030704945,C001,0,0,0,0,0
22151722718,C004,30,8,8,0,8
22060402708,C010,0,0,0,0,0
22041508907,C006,32,8,8,0,8
22110437205,C004,50,10,10,0,10
22110602101,C002,40,10,8,0,8
22060208709,C006,0,0,0,0,0
22110437603,C009,0,0,0,0,0
22252614403,C010,0,0,0,0,0
22020106516,C010,0,0,0,0,0
22252309302,C006,0,0,0,0,0
22121105313,C002,0,0,0,0,0
22110403911,C009,0,0,0,0,0
22110441306,C008,0,0,0,0,0
22052305315,C011,0,0,0,0,0
22100604906,C008,0,0,0,0,0
